FROM_cell_ID,TO_cell_ID,dist,From_gate,To_gate,From_Position,To_Position,mean_dist,median_dist,count_NN_radius,radius
117_1,617_1,10.2,Helper T cells,Leukocytes,1,1,139.62,118.8,162,300
124_1,559_1,13,Helper T cells,Leukocytes,1,1,173.91,150.9,141,300
127_1,234_1,9.6,Helper T cells,Leukocytes,1,1,289.76,265.7,96,300
14_1,9_1,33,Helper T cells,Leukocytes,1,1,323.32,304.6,76,300
159_1,442_1,5.9,Helper T cells,Leukocytes,1,1,141.98,128.8,156,300
168_1,301_1,7.1,Helper T cells,Leukocytes,1,1,154.22,142.8,151,300
171_1,582_1,5.6,Helper T cells,Leukocytes,1,1,219.49,193.9,123,300
190_1,382_1,14.2,Helper T cells,Leukocytes,1,1,139.4,116,163,300
197_1,559_1,7.2,Helper T cells,Leukocytes,1,1,184.12,159.5,139,300
205_1,430_1,19,Helper T cells,Leukocytes,1,1,140.4,130.1,162,300
213_1,321_1,14.8,Helper T cells,Leukocytes,1,1,139.49,128.1,160,300
221_1,301_1,7.2,Helper T cells,Leukocytes,1,1,152.25,143.6,152,300
241_1,408_1,8.6,Helper T cells,Leukocytes,1,1,137.5,119.3,161,300
246_1,550_1,6.1,Helper T cells,Leukocytes,1,1,142.16,120.5,159,300
261_1,382_1,7,Helper T cells,Leukocytes,1,1,143.09,122.5,162,300
267_1,753_1,13.2,Helper T cells,Leukocytes,1,1,146.97,135.2,154,300
274_1,647_1,6,Helper T cells,Leukocytes,1,1,268.92,278.3,100,300
293_1,107_1,7.2,Helper T cells,Leukocytes,1,1,161.93,152.7,150,300
301_1,168_1,7.1,Helper T cells,Leukocytes,1,1,152.44,144,152,300
318_1,412_1,12,Helper T cells,Leukocytes,1,1,175.92,157.6,143,300
326_1,513_1,19.8,Helper T cells,Leukocytes,1,1,196.08,168.5,130,300
330_1,550_1,6.2,Helper T cells,Leukocytes,1,1,140.26,118.5,162,300
363_1,442_1,10.3,Helper T cells,Leukocytes,1,1,139.47,124.4,160,300
366_1,506_1,8.1,Helper T cells,Leukocytes,1,1,227.02,227.4,123,300
371_1,660_1,5.8,Helper T cells,Leukocytes,1,1,181.96,164.2,139,300
376_1,832_1,7.8,Helper T cells,Leukocytes,1,1,226.68,217.9,129,300
38_1,753_1,22,Helper T cells,Leukocytes,1,1,156.88,138.1,148,300
408_1,534_1,7.4,Helper T cells,Leukocytes,1,1,137.2,118.8,162,300
426_1,806_1,14,Helper T cells,Leukocytes,1,1,158.23,154.4,162,300
442_1,159_1,5.9,Helper T cells,Leukocytes,1,1,140.99,127.9,157,300
482_1,805_1,7.2,Helper T cells,Leukocytes,1,1,161.79,154.6,152,300
500_1,485_1,25.5,Helper T cells,Leukocytes,1,1,171.68,150.2,137,300
513_1,689_1,7.8,Helper T cells,Leukocytes,1,1,192.37,168.6,135,300
526_1,582_1,4.1,Helper T cells,Leukocytes,1,1,221.23,196,123,300
535_1,350_1,27.7,Helper T cells,Leukocytes,1,1,200.57,187.8,135,300
537_1,737_1,5,Helper T cells,Leukocytes,1,1,246.8,247.2,114,300
538_1,181_1,6.5,Helper T cells,Leukocytes,1,1,174.91,173.6,159,300
550_1,232_1,6,Helper T cells,Leukocytes,1,1,141.46,117.8,159,300
559_1,197_1,7.2,Helper T cells,Leukocytes,1,1,180.49,156.8,140,300
582_1,526_1,4.1,Helper T cells,Leukocytes,1,1,218.06,193.2,124,300
593_1,159_1,8.6,Helper T cells,Leukocytes,1,1,141.59,121.1,156,300
615_1,582_1,5.6,Helper T cells,Leukocytes,1,1,214.7,187.8,125,300
618_1,637_1,2.9,Helper T cells,Leukocytes,1,1,262.03,275.6,107,300
660_1,793_1,4.7,Helper T cells,Leukocytes,1,1,182.86,167.9,141,300
687_1,578_1,6.7,Helper T cells,Leukocytes,1,1,138.04,115.9,163,300
689_1,513_1,7.8,Helper T cells,Leukocytes,1,1,191.39,170.3,135,300
701_1,515_1,20.1,Helper T cells,Leukocytes,1,1,173.66,158.7,137,300
738_1,781_1,4.6,Helper T cells,Leukocytes,1,1,178.45,159.4,142,300
753_1,267_1,13.2,Helper T cells,Leukocytes,1,1,150.41,136.9,149,300
765_1,360_1,16,Helper T cells,Leukocytes,1,1,172.48,154.9,138,300
785_1,624_1,8.1,Helper T cells,Leukocytes,1,1,180.25,179.1,158,300
789_1,618_1,3.4,Helper T cells,Leukocytes,1,1,263.04,277.4,106,300
793_1,660_1,4.7,Helper T cells,Leukocytes,1,1,185.68,167.8,138,300
91_1,95_1,13,Helper T cells,Leukocytes,1,1,155.8,139.4,153,300
95_1,293_1,9.6,Helper T cells,Leukocytes,1,1,160.73,145.8,149,300
117_1,406_1,58.6,Helper T cells,Tumor cells,1,1,170.2,150.55,129,300
124_1,470_1,47.4,Helper T cells,Tumor cells,1,1,209.13,213.85,112,300
127_1,404_1,47.5,Helper T cells,Tumor cells,1,1,254.34,172.5,84,300
14_1,165_1,49.9,Helper T cells,Tumor cells,1,1,293.76,233.3,83,300
159_1,290_1,75.1,Helper T cells,Tumor cells,1,1,185.61,177.95,119,300
168_1,290_1,49.8,Helper T cells,Tumor cells,1,1,200.77,195.35,118,300
171_1,680_1,42.1,Helper T cells,Tumor cells,1,1,207.75,147.2,93,300
190_1,406_1,39.6,Helper T cells,Tumor cells,1,1,166.34,149.65,125,300
197_1,470_1,46.2,Helper T cells,Tumor cells,1,1,215.85,221.75,111,300
205_1,594_1,60,Helper T cells,Tumor cells,1,1,178.87,159.35,131,300
213_1,594_1,76,Helper T cells,Tumor cells,1,1,181.13,168.3,128,300
221_1,290_1,63.6,Helper T cells,Tumor cells,1,1,198.55,193.75,118,300
241_1,406_1,68,Helper T cells,Tumor cells,1,1,176.14,158.85,130,300
246_1,594_1,20.5,Helper T cells,Tumor cells,1,1,165.86,151.35,121,300
261_1,406_1,40.4,Helper T cells,Tumor cells,1,1,164.28,143.45,121,300
267_1,290_1,59.7,Helper T cells,Tumor cells,1,1,190.78,189.05,118,300
274_1,625_1,52.3,Helper T cells,Tumor cells,1,1,303.65,361.45,49,300
293_1,470_1,26,Helper T cells,Tumor cells,1,1,197.53,204.65,115,300
301_1,290_1,56.9,Helper T cells,Tumor cells,1,1,198.95,193.8,118,300
318_1,470_1,30.7,Helper T cells,Tumor cells,1,1,208.75,220.1,113,300
326_1,758_1,17.5,Helper T cells,Tumor cells,1,1,183.6,137.35,99,300
330_1,406_1,28.3,Helper T cells,Tumor cells,1,1,166.58,150.9,124,300
363_1,406_1,87,Helper T cells,Tumor cells,1,1,181.19,171.05,125,300
366_1,596_1,39.1,Helper T cells,Tumor cells,1,1,269.02,317.15,57,300
371_1,531_1,37.7,Helper T cells,Tumor cells,1,1,188.31,175.9,101,300
376_1,596_1,47.6,Helper T cells,Tumor cells,1,1,270.27,310.6,59,300
38_1,755_1,48.5,Helper T cells,Tumor cells,1,1,197.36,203.7,115,300
408_1,406_1,59.5,Helper T cells,Tumor cells,1,1,173.74,155.7,131,300
426_1,594_1,77.5,Helper T cells,Tumor cells,1,1,195.45,180.6,129,300
442_1,290_1,79.7,Helper T cells,Tumor cells,1,1,184.34,175.4,122,300
482_1,290_1,84.6,Helper T cells,Tumor cells,1,1,206.34,204.8,118,300
500_1,601_1,8.4,Helper T cells,Tumor cells,1,1,160.43,120.6,105,300
513_1,758_1,28.7,Helper T cells,Tumor cells,1,1,188.14,155.8,101,300
526_1,680_1,37.8,Helper T cells,Tumor cells,1,1,207.3,144.8,91,300
535_1,400_1,24.4,Helper T cells,Tumor cells,1,1,242.14,277.95,83,300
537_1,596_1,13,Helper T cells,Tumor cells,1,1,287.9,340.2,52,300
538_1,700_1,21.5,Helper T cells,Tumor cells,1,1,190.73,185.9,119,300
550_1,406_1,22.1,Helper T cells,Tumor cells,1,1,164.96,149.35,121,300
559_1,470_1,46.5,Helper T cells,Tumor cells,1,1,213.52,219.85,112,300
582_1,854_1,39.6,Helper T cells,Tumor cells,1,1,204.88,142.55,93,300
593_1,290_1,79.4,Helper T cells,Tumor cells,1,1,184.13,174.7,120,300
615_1,854_1,38.9,Helper T cells,Tumor cells,1,1,203.07,142.55,94,300
618_1,625_1,65,Helper T cells,Tumor cells,1,1,299,356.8,49,300
660_1,531_1,43.2,Helper T cells,Tumor cells,1,1,191.13,180.95,101,300
687_1,594_1,44.2,Helper T cells,Tumor cells,1,1,170.7,151.6,129,300
689_1,758_1,35,Helper T cells,Tumor cells,1,1,190.29,163.25,101,300
701_1,683_1,12.2,Helper T cells,Tumor cells,1,1,168.17,137.95,116,300
738_1,531_1,46.7,Helper T cells,Tumor cells,1,1,190.35,186.85,103,300
753_1,423_1,54.8,Helper T cells,Tumor cells,1,1,193.22,195.6,118,300
765_1,531_1,5,Helper T cells,Tumor cells,1,1,169.46,146.5,104,300
785_1,700_1,25.6,Helper T cells,Tumor cells,1,1,194.27,190.75,119,300
789_1,625_1,68.4,Helper T cells,Tumor cells,1,1,300.28,358.45,49,300
793_1,531_1,43.8,Helper T cells,Tumor cells,1,1,192.58,177.8,101,300
91_1,470_1,37,Helper T cells,Tumor cells,1,1,193.17,196.3,117,300
95_1,470_1,35.4,Helper T cells,Tumor cells,1,1,197.84,207.4,115,300
100_1,293_1,11,Leukocytes,Helper T cells,1,1,146.89,124.1,53,300
104_1,127_1,42.4,Leukocytes,Helper T cells,1,1,256.77,243.8,39,300
105_1,127_1,50.8,Leukocytes,Helper T cells,1,1,269.16,254.8,37,300
107_1,293_1,7.2,Leukocytes,Helper T cells,1,1,143.81,124.8,53,300
110_1,124_1,31.7,Leukocytes,Helper T cells,1,1,161.6,135.6,49,300
115_1,538_1,7.8,Leukocytes,Helper T cells,1,1,168.25,139.7,54,300
117_1,190_1,19.1,Leukocytes,Helper T cells,1,1,120.69,102.9,53,300
120_1,14_1,38.7,Leukocytes,Helper T cells,1,1,280.36,284.3,30,300
124_1,559_1,13,Leukocytes,Helper T cells,1,1,158.86,141.1,49,300
126_1,124_1,42.8,Leukocytes,Helper T cells,1,1,171.35,147.8,49,300
127_1,14_1,149.2,Leukocytes,Helper T cells,1,1,296.98,287.15,30,300
129_1,261_1,19.2,Leukocytes,Helper T cells,1,1,134.26,125.6,52,300
133_1,538_1,15,Leukocytes,Helper T cells,1,1,154.61,126.9,54,300
14_1,526_1,127,Leukocytes,Helper T cells,1,1,318.59,325,22,300
148_1,538_1,27,Leukocytes,Helper T cells,1,1,152,117.3,54,300
159_1,442_1,5.9,Leukocytes,Helper T cells,1,1,117.23,101.3,52,300
161_1,701_1,22.1,Leukocytes,Helper T cells,1,1,154.91,152.4,51,300
162_1,127_1,65.8,Leukocytes,Helper T cells,1,1,248.87,231.9,45,300
167_1,267_1,17,Leukocytes,Helper T cells,1,1,122.71,101.5,53,300
168_1,301_1,7.1,Leukocytes,Helper T cells,1,1,131.2,118.9,52,300
171_1,582_1,5.6,Leukocytes,Helper T cells,1,1,199.81,196.1,43,300
177_1,168_1,34.1,Leukocytes,Helper T cells,1,1,149.54,135.1,53,300
181_1,538_1,6.5,Leukocytes,Helper T cells,1,1,165.77,137.7,54,300
186_1,274_1,14.1,Leukocytes,Helper T cells,1,1,278.65,276.8,34,300
190_1,261_1,16.9,Leukocytes,Helper T cells,1,1,120.38,107.6,54,300
192_1,197_1,28,Leukocytes,Helper T cells,1,1,180.83,166,49,300
197_1,559_1,7.2,Leukocytes,Helper T cells,1,1,171.22,151.35,48,300
205_1,213_1,19.2,Leukocytes,Helper T cells,1,1,116.26,112.05,53,300
207_1,127_1,60.9,Leukocytes,Helper T cells,1,1,237.82,219.8,44,300
213_1,241_1,16.6,Leukocytes,Helper T cells,1,1,114.7,121.25,53,300
220_1,241_1,10.8,Leukocytes,Helper T cells,1,1,112.61,106.4,54,300
221_1,301_1,7.2,Leukocytes,Helper T cells,1,1,128.52,124.75,52,300
232_1,550_1,6,Leukocytes,Helper T cells,1,1,119.89,107.6,55,300
234_1,127_1,9.6,Leukocytes,Helper T cells,1,1,288.62,277,31,300
235_1,701_1,47.9,Leukocytes,Helper T cells,1,1,166.42,145.6,49,300
241_1,408_1,8.6,Leukocytes,Helper T cells,1,1,113.8,116.4,53,300
246_1,550_1,6.1,Leukocytes,Helper T cells,1,1,121.69,103.7,53,300
261_1,190_1,16.9,Leukocytes,Helper T cells,1,1,127.31,116.7,54,300
267_1,753_1,13.2,Leukocytes,Helper T cells,1,1,123.52,97.2,52,300
274_1,618_1,17.2,Leukocytes,Helper T cells,1,1,270.21,264.7,36,300
283_1,246_1,25.1,Leukocytes,Helper T cells,1,1,126.84,108.2,52,300
284_1,261_1,33.5,Leukocytes,Helper T cells,1,1,136.77,128,54,300
285_1,124_1,48.5,Leukocytes,Helper T cells,1,1,175.32,151.4,48,300
291_1,168_1,17.1,Leukocytes,Helper T cells,1,1,137.81,123.3,53,300
293_1,95_1,9.6,Leukocytes,Helper T cells,1,1,144.63,125.1,52,300
299_1,261_1,16.8,Leukocytes,Helper T cells,1,1,133.72,127.7,54,300
301_1,168_1,7.1,Leukocytes,Helper T cells,1,1,128.89,118.5,52,300
307_1,14_1,34,Leukocytes,Helper T cells,1,1,301.45,306.7,27,300
310_1,117_1,14,Leukocytes,Helper T cells,1,1,114.68,98.2,54,300
318_1,559_1,15.8,Leukocytes,Helper T cells,1,1,161.51,145.1,50,300
321_1,213_1,14.8,Leukocytes,Helper T cells,1,1,116.07,124,53,300
326_1,513_1,19.8,Leukocytes,Helper T cells,1,1,176.84,174.2,47,300
329_1,127_1,48,Leukocytes,Helper T cells,1,1,251.92,235.8,43,300
330_1,550_1,6.2,Leukocytes,Helper T cells,1,1,119.51,102.35,54,300
350_1,376_1,22.5,Leukocytes,Helper T cells,1,1,205.34,186.6,46,300
360_1,765_1,16,Leukocytes,Helper T cells,1,1,142.27,127.1,51,300
362_1,261_1,39,Leukocytes,Helper T cells,1,1,141.8,136,54,300
363_1,442_1,10.3,Leukocytes,Helper T cells,1,1,115.03,106.05,53,300
365_1,246_1,33.3,Leukocytes,Helper T cells,1,1,131.92,109.7,52,300
366_1,537_1,31.1,Leukocytes,Helper T cells,1,1,222.69,207.85,39,300
367_1,371_1,12,Leukocytes,Helper T cells,1,1,149.53,139.3,50,300
370_1,550_1,13.1,Leukocytes,Helper T cells,1,1,122.36,111.4,54,300
371_1,660_1,5.8,Leukocytes,Helper T cells,1,1,158.84,149.65,49,300
375_1,789_1,9.6,Leukocytes,Helper T cells,1,1,252.42,249.3,39,300
376_1,537_1,34.7,Leukocytes,Helper T cells,1,1,219.25,195.75,43,300
38_1,753_1,22,Leukocytes,Helper T cells,1,1,137,122.2,52,300
382_1,261_1,7,Leukocytes,Helper T cells,1,1,123.7,115.4,55,300
391_1,789_1,45.9,Leukocytes,Helper T cells,1,1,266.43,262,34,300
399_1,701_1,23.2,Leukocytes,Helper T cells,1,1,150.24,142.7,51,300
408_1,241_1,8.6,Leukocytes,Helper T cells,1,1,114.17,111.25,53,300
